response_id,age_group,gender,education,occupation,monthly_income,years_investing,portfolio_size,trade_frequency,sectors_invested,info_source,lacks_knowledge,hard_to_access_info,volatility_difficulty,broker_platform_issues,regulatory_confusion,emotional_control,limited_capital,misled_by_rumors,ipo_process_confusing,lacks_mentorship,profitable_experience,confidence_change
146,25-34,Male,Master's,Business owner,"Below 25,000",5+ years,"50,000-200,000",Monthly,"Hotels, Insurance",ShareSansar/MeroLagani,4,4,2,2,3,2,3,3,1,4,Yes,Higher
147,35-44,Male,High school,Salaried employee,"25,000-50,000",<1 year,"Above 1,000,000",Monthly,"Banking, Hydropower, Hotels",ShareSansar/MeroLagani,3,4,3,3,4,4,4,4,3,3,No,Higher
148,35-44,Female,Bachelor's,Salaried employee,"50,000-100,000",5+ years,"Below 50,000",Weekly,Microfinance,Friends & family,2,3,3,2,1,4,2,3,2,2,Yes,Lower
149,45-54,Female,High school,Salaried employee,"Below 25,000",1-3 years,"Below 50,000",A few times a year,"Insurance, Microfinance, Banking",Financial news,4,4,3,4,4,3,4,5,4,5,No,Higher
150,25-34,Female,High school,Salaried employee,"25,000-50,000",3-5 years,"Below 50,000",Daily,"Manufacturing, Banking, Insurance",TMS/broker app,2,3,4,3,3,4,2,3,2,3,Not sure,Lower
151,45-54,Female,Master's,Student,"Below 25,000",<1 year,"50,000-200,000",Weekly,Manufacturing,TMS/broker app,3,5,3,5,4,3,4,3,3,4,Yes,Higher
152,45-54,Male,Master's,Salaried employee,"50,000-100,000",3-5 years,"50,000-200,000",Monthly,Hotels,Financial advisor,4,5,2,3,3,2,3,3,2,3,Break-even,Same
153,35-44,Female,Master's,Salaried employee,"50,000-100,000",1-3 years,"500,000-1,000,000",Weekly,Manufacturing,Social media,4,4,3,5,5,5,3,4,4,5,Yes,Same
154,35-44,Male,High school,Business owner,"25,000-50,000",3-5 years,"Below 50,000",Daily,"Hydropower, Banking, Microfinance",TMS/broker app,4,3,4,2,2,1,2,3,1,2,No,Same
155,45-54,Male,Bachelor's,Salaried employee,"50,000-100,000",1-3 years,"200,000-500,000",Weekly,Manufacturing,Social media,5,5,4,2,5,4,4,4,5,3,No,Lower
156,18-24,Male,Bachelor's,Student,"50,000-100,000",<1 year,"200,000-500,000",Daily,"Microfinance, Manufacturing, Banking",Friends & family,5,5,5,3,3,4,4,5,5,4,Yes,Same
157,35-44,Female,Bachelor's,Salaried employee,"25,000-50,000",<1 year,"200,000-500,000",Monthly,"Hydropower, Microfinance, Manufacturing",Financial news,4,4,3,4,4,2,4,3,3,2,Yes,Much higher
158,25-34,Female,Bachelor's,Salaried employee,"Below 25,000",1-3 years,"200,000-500,000",Rarely,"Insurance, Manufacturing",Financial news,4,2,3,4,4,4,5,5,3,4,Yes,Same
159,25-34,Female,Bachelor's,Student,"Below 25,000",<1 year,"500,000-1,000,000",Monthly,"Hydropower, Microfinance, Manufacturing",ShareSansar/MeroLagani,4,5,5,4,4,5,4,4,4,2,No,Much higher
160,25-34,Female,PhD,Student,Prefer not to say,3-5 years,"Below 50,000",A few times a year,Banking,Financial advisor,3,2,3,3,2,3,2,3,3,1,Yes,Same
161,25-34,Male,High school,Student,"Above 100,000",5+ years,"Below 50,000",Monthly,"Insurance, Hotels, Manufacturing",Financial advisor,4,3,1,3,2,3,2,3,2,2,No,Lower
162,25-34,Male,Bachelor's,Business owner,"Below 25,000",1-3 years,"50,000-200,000",Daily,Microfinance,ShareSansar/MeroLagani,4,3,4,4,4,4,4,4,4,3,Yes,Same
163,35-44,Female,High school,Salaried employee,"50,000-100,000",5+ years,"Below 50,000",Daily,Banking,TMS/broker app,2,3,2,2,4,3,2,1,3,3,Yes,Higher
164,25-34,Male,Master's,Student,"25,000-50,000",3-5 years,"50,000-200,000",A few times a year,"Banking, Insurance, Hotels",Financial advisor,2,2,3,3,3,2,4,2,4,1,Break-even,Much higher
165,18-24,Female,High school,Salaried employee,"50,000-100,000",5+ years,"50,000-200,000",Monthly,"Banking, Hydropower",Financial advisor,2,2,3,5,1,2,4,4,3,2,No,Higher
166,35-44,Male,Bachelor's,Business owner,"50,000-100,000",<1 year,"Below 50,000",A few times a year,Hotels,TMS/broker app,4,3,5,3,2,4,4,4,5,3,Yes,Higher
167,18-24,Male,High school,Salaried employee,"50,000-100,000",5+ years,"50,000-200,000",Monthly,"Hydropower, Insurance",Friends & family,3,2,4,1,3,4,2,2,2,2,Yes,Higher
168,25-34,Male,Bachelor's,Student,"Above 100,000",1-3 years,"Below 50,000",A few times a year,"Manufacturing, Insurance",Friends & family,5,3,5,4,3,3,3,3,5,4,Break-even,Much higher
169,35-44,Male,Master's,Student,"Below 25,000",5+ years,"50,000-200,000",Weekly,Hydropower,Financial advisor,1,2,5,3,3,3,1,2,2,2,Yes,Lower
170,25-34,Female,Master's,Salaried employee,"Below 25,000",5+ years,"Below 50,000",Weekly,Banking,ShareSansar/MeroLagani,3,3,4,2,1,2,3,2,3,2,No,Much higher
171,18-24,Female,Master's,Business owner,"Below 25,000",5+ years,"200,000-500,000",Rarely,Hotels,Social media,2,3,4,2,3,3,4,3,4,2,Yes,Higher
172,35-44,Male,Master's,Student,"Below 25,000",3-5 years,"200,000-500,000",Monthly,"Manufacturing, Hydropower",Financial advisor,2,4,1,3,4,3,3,3,4,3,Not sure,Lower
173,18-24,Male,Bachelor's,Salaried employee,"Below 25,000",<1 year,"50,000-200,000",A few times a year,"Hotels, Microfinance, Hydropower",Financial advisor,4,4,3,3,4,2,5,4,5,5,Yes,Much higher
174,18-24,Female,Bachelor's,Salaried employee,"25,000-50,000",<1 year,"200,000-500,000",Weekly,"Hotels, Microfinance",Financial news,5,5,5,4,5,2,5,4,4,3,No,Same
175,35-44,Female,Master's,Business owner,"25,000-50,000",3-5 years,"200,000-500,000",Weekly,Banking,TMS/broker app,2,3,4,2,2,1,3,5,3,3,No,Much higher
176,18-24,Male,Other,Self-employed,"Below 25,000",3-5 years,"200,000-500,000",Weekly,"Banking, Manufacturing, Microfinance",Friends & family,2,2,3,2,2,1,4,3,3,4,No,Lower
177,18-24,Male,Bachelor's,Salaried employee,"Below 25,000",5+ years,"200,000-500,000",Weekly,"Microfinance, Manufacturing, Hydropower",Financial news,3,2,2,3,3,3,4,3,2,2,Yes,Same
178,25-34,Male,Bachelor's,Student,"25,000-50,000",1-3 years,"50,000-200,000",A few times a year,Microfinance,Financial news,4,3,4,4,4,4,5,4,4,4,Yes,Much higher
179,35-44,Male,Bachelor's,Student,"Below 25,000",1-3 years,"500,000-1,000,000",Rarely,"Manufacturing, Banking, Hotels",TMS/broker app,5,5,4,5,4,5,3,4,4,4,Break-even,Higher
180,25-34,Male,Master's,Business owner,"Below 25,000",5+ years,"50,000-200,000",Monthly,"Manufacturing, Microfinance, Banking",TMS/broker app,2,4,3,2,2,2,2,3,2,3,No,Much higher
181,55+,Male,Master's,Salaried employee,"Above 100,000",<1 year,"50,000-200,000",Monthly,"Insurance, Microfinance",TMS/broker app,5,3,4,4,5,5,4,2,5,3,Not sure,Same
182,55+,Male,Bachelor's,Salaried employee,"Above 100,000",<1 year,"50,000-200,000",A few times a year,Hotels,Social media,3,5,3,4,4,5,5,2,5,3,No,Higher
183,18-24,Male,Bachelor's,Student,"25,000-50,000",<1 year,"Below 50,000",Monthly,"Microfinance, Banking",Friends & family,4,4,5,5,4,5,3,4,4,4,No,Same
184,35-44,Female,Master's,Salaried employee,"50,000-100,000",<1 year,"500,000-1,000,000",Monthly,"Manufacturing, Insurance, Microfinance",Financial advisor,5,4,3,5,5,4,5,4,4,4,Break-even,Lower
185,18-24,Female,Bachelor's,Salaried employee,"Below 25,000",1-3 years,"Below 50,000",Daily,Microfinance,Financial advisor,5,4,4,4,2,4,4,3,5,5,Break-even,Lower
186,25-34,Prefer not to say,Master's,Self-employed,"50,000-100,000",1-3 years,"50,000-200,000",Weekly,"Hotels, Hydropower, Manufacturing",Financial news,4,2,4,4,5,3,2,4,2,5,Not sure,Much higher
187,18-24,Female,High school,Salaried employee,"25,000-50,000",1-3 years,"500,000-1,000,000",Daily,Banking,Financial advisor,5,4,4,3,3,4,3,3,5,4,Yes,Higher
188,18-24,Male,Master's,Student,"Below 25,000",<1 year,"50,000-200,000",A few times a year,"Hotels, Microfinance",Financial news,5,3,5,3,4,4,4,5,2,4,No,Much higher
189,18-24,Male,Bachelor's,Student,"Below 25,000",3-5 years,"50,000-200,000",Weekly,"Microfinance, Insurance",Financial advisor,2,2,2,3,3,3,3,4,3,4,Yes,Same
190,18-24,Male,Master's,Business owner,"Below 25,000",5+ years,"50,000-200,000",Weekly,Insurance,Financial news,5,3,1,2,2,3,2,2,3,3,Not sure,Higher
191,25-34,Female,Bachelor's,Unemployed,"25,000-50,000",<1 year,"Above 1,000,000",A few times a year,"Insurance, Hotels, Microfinance",TMS/broker app,4,3,4,5,4,4,4,4,5,4,Yes,Same
192,35-44,Female,Bachelor's,Business owner,"50,000-100,000",3-5 years,"Below 50,000",Monthly,"Banking, Manufacturing, Insurance",Friends & family,3,3,3,4,3,3,4,2,4,1,No,Higher
193,18-24,Male,Bachelor's,Student,"25,000-50,000",<1 year,"50,000-200,000",Daily,"Banking, Hotels, Insurance",TMS/broker app,5,3,4,4,3,4,4,5,3,5,No,Much higher
194,25-34,Male,Master's,Salaried employee,"Above 100,000",1-3 years,"Below 50,000",Monthly,"Insurance, Manufacturing, Hotels",Financial news,3,4,2,5,4,4,4,5,2,4,No,Much higher
195,18-24,Male,Bachelor's,Business owner,"25,000-50,000",<1 year,"Below 50,000",Weekly,"Hotels, Manufacturing, Insurance",Financial news,4,4,3,4,5,3,3,4,4,4,Break-even,Lower
196,18-24,Male,Bachelor's,Self-employed,"25,000-50,000",<1 year,"Below 50,000",Monthly,Hotels,TMS/broker app,5,4,4,5,5,4,4,2,4,4,Break-even,Higher
197,35-44,Male,Bachelor's,Business owner,"25,000-50,000",1-3 years,"Below 50,000",Daily,Banking,ShareSansar/MeroLagani,5,2,4,5,5,4,4,2,2,5,Yes,Much higher
198,25-34,Male,Bachelor's,Salaried employee,"50,000-100,000",5+ years,"50,000-200,000",Rarely,"Hydropower, Microfinance",TMS/broker app,2,1,3,4,3,4,4,2,2,2,No,Same
199,25-34,Male,Bachelor's,Unemployed,"50,000-100,000",<1 year,"500,000-1,000,000",Weekly,Insurance,ShareSansar/MeroLagani,3,5,4,3,5,5,4,3,5,5,Break-even,Much higher
200,45-54,Male,Bachelor's,Student,"Below 25,000",<1 year,"Below 50,000",Weekly,"Hydropower, Hotels, Manufacturing",Friends & family,4,4,5,4,5,4,4,5,4,2,Yes,Higher
201,18-24,Male,Bachelor's,Business owner,"25,000-50,000",5+ years,"50,000-200,000",Rarely,"Hotels, Microfinance",Financial advisor,4,1,2,3,2,2,2,2,2,3,No,Same
202,55+,Female,Bachelor's,Student,"25,000-50,000",5+ years,"Below 50,000",Monthly,Microfinance,Friends & family,2,3,1,2,4,3,4,2,2,1,Break-even,Higher
203,18-24,Female,Bachelor's,Self-employed,"Below 25,000",5+ years,"200,000-500,000",Monthly,Manufacturing,Social media,2,3,4,3,2,3,1,2,2,3,No,Higher
204,25-34,Male,Bachelor's,Salaried employee,"25,000-50,000",<1 year,"500,000-1,000,000",Monthly,"Hydropower, Insurance, Microfinance",Friends & family,5,3,5,4,2,4,4,3,4,3,No,Higher
205,18-24,Female,Bachelor's,Student,"50,000-100,000",3-5 years,"50,000-200,000",Weekly,Banking,Financial advisor,3,2,3,1,3,3,3,3,2,1,Break-even,Higher
206,55+,Male,Bachelor's,Salaried employee,"25,000-50,000",3-5 years,"Below 50,000",Daily,"Microfinance, Hotels, Manufacturing",Social media,3,4,3,2,3,4,2,3,2,1,Not sure,Higher
207,25-34,Male,PhD,Salaried employee,"25,000-50,000",<1 year,"50,000-200,000",A few times a year,Insurance,Social media,4,3,5,4,4,5,3,4,4,4,No,Higher
208,18-24,Female,High school,Business owner,"50,000-100,000",<1 year,"50,000-200,000",Monthly,Insurance,Friends & family,4,4,4,3,4,3,4,5,5,2,Yes,Much lower
209,25-34,Male,Master's,Salaried employee,"25,000-50,000",3-5 years,"50,000-200,000",Weekly,"Microfinance, Insurance",TMS/broker app,3,2,2,2,1,4,4,3,3,5,Not sure,Same
210,25-34,Male,PhD,Student,"50,000-100,000",<1 year,"200,000-500,000",Weekly,Hotels,Social media,5,3,4,4,2,5,4,5,3,4,Not sure,Lower
211,18-24,Male,Bachelor's,Salaried employee,"50,000-100,000",5+ years,"Below 50,000",Monthly,"Hydropower, Manufacturing, Insurance",Financial news,2,3,2,1,3,3,2,3,2,2,Yes,Same
212,18-24,Male,High school,Student,"Below 25,000",<1 year,"50,000-200,000",Monthly,"Hotels, Insurance, Hydropower",ShareSansar/MeroLagani,5,4,4,4,4,5,4,4,4,5,No,Same
213,25-34,Male,Bachelor's,Self-employed,Prefer not to say,<1 year,"Below 50,000",Monthly,"Insurance, Hydropower",ShareSansar/MeroLagani,3,3,5,5,4,2,4,4,4,3,Not sure,Lower
214,35-44,Male,Bachelor's,Salaried employee,"25,000-50,000",<1 year,"Below 50,000",A few times a year,Hydropower,Financial news,4,3,4,4,4,5,4,3,4,4,No,Lower
215,35-44,Male,High school,Student,"Below 25,000",5+ years,"50,000-200,000",Rarely,"Banking, Insurance",Financial news,2,3,4,2,3,2,3,3,4,3,No,Higher
216,45-54,Male,Bachelor's,Salaried employee,"25,000-50,000",1-3 years,"Below 50,000",Daily,"Banking, Microfinance",Social media,3,5,3,4,4,5,3,4,3,5,No,Much lower
217,35-44,Male,Master's,Student,"Above 100,000",1-3 years,"50,000-200,000",Weekly,Microfinance,Financial news,5,5,4,4,4,4,4,5,3,4,Yes,Much higher
218,18-24,Male,Master's,Salaried employee,"Below 25,000",5+ years,"Below 50,000",Weekly,"Banking, Manufacturing",ShareSansar/MeroLagani,3,4,2,3,3,3,4,3,3,2,Yes,Much higher
219,25-34,Female,Bachelor's,Salaried employee,Prefer not to say,1-3 years,"Above 1,000,000",Weekly,Hydropower,Financial news,4,3,4,4,4,3,4,5,4,5,Yes,Higher
220,18-24,Other,Master's,Salaried employee,Prefer not to say,<1 year,"200,000-500,000",A few times a year,Banking,TMS/broker app,3,4,4,3,5,5,3,3,4,5,No,Much higher
